"","observed","chao1","diversity_inverse_simpson","diversity_gini_simpson","diversity_shannon","diversity_fisher","diversity_coverage","evenness_camargo","evenness_pielou","evenness_simpson","evenness_evar","evenness_bulla","dominance_dbp","dominance_dmn","dominance_absolute","dominance_relative","dominance_simpson","dominance_core_abundance","dominance_gini","rarity_log_modulo_skewness","rarity_low_abundance","rarity_rare_abundance"
"NIOZ140.110",13203,20966.1563981043,234.712196031094,0.995739462981005,6.93546506628008,3496.55017894832,103,0.89371454327532,0.730956929385661,0.0177771867023475,0.409941546509869,0.26050098869646,0.020442930153322,0.0381225770969429,3048,0.020442930153322,0.00426053701899463,0.0661108800922883,0.98120494039722,2.06142275450012,0.524862841889227,0.803444714214812
"NIOZ140.105",14169,29245.8481798715,168.958155684579,0.994081374788046,6.90530004311699,4167.88287059452,84,0.849785219782565,0.722401509469018,0.011924494014015,0.465267486734538,0.278157827401196,0.0332490780259396,0.0618654953797704,4012,0.0332490780259396,0.00591862521195401,0.0767994033066755,0.977221398877418,2.06142292750181,0.516371773090789,0.681266315833092
"NIOZ140.114",13811,26217.2229647631,56.6381061356931,0.982344042408406,6.45225021256038,4263.3552722198,41,0.85101369561832,0.676817462430554,0.00410094172295222,0.533240358785382,0.300417094690449,0.095486808624615,0.144626834261226,9982,0.095486808624615,0.017655957591594,0.174472440643594,0.975713261256487,2.0614229101369,0.468662113298514,0.567276971053588
"NIOZ140.102",15849,26143.793055123,148.45903122192,0.993264134948414,6.93840626851048,4623.96700610711,81,NA,0.717454813636211,0.00936709137623319,0.480973037043169,0.293000498835583,0.036835192267222,0.0615226083612113,5076,0.036835192267222,0.0067358650515857,0.0972983171629065,0.973432314649699,2.0614226849728,0.532252563442015,0.710296582802987
"NIOZ140.109",4683,10646.4507042254,176.856799937752,0.994345707937993,6.43708830235504,1414.84675308449,89,0.951105814995922,0.761632891942606,0.0377657057308887,0.415430867559455,0.286474059390399,0.0275135960564739,0.0547592895223297,1027,0.0275135960564739,0.00565429206200705,0.0563934953250998,0.991629109159589,2.06142303617716,0.451121172341737,0.811610898277386
"NIOZ140.103",12557,23774.1784601691,67.9749067134569,0.985288688894927,6.49763237200394,3749.39002808291,51,0.889424865594833,0.688451925083899,0.00541330785326566,0.496016384655042,0.289448480668767,0.0834109881576393,0.125354300135896,8593,0.0834109881576393,0.0147113111050733,0.114686468646865,0.979058171991255,2.06142271203654,0.495010677538342,0.58169287516987
"NIOZ140.106",6141,13818.500550055,204.302553794458,0.995105298580819,6.93167845078498,2081.59224641306,151,0.947152712857263,0.794667291086221,0.0332686132216998,0.459338635139417,0.346566272322036,0.0431356943891763,0.0639076800636689,1626,0.0431356943891763,0.00489470141918081,0.0728743865234116,0.986148725173507,2.06142303617716,0.62239023743202,0.79535747446611
"NIOZ140.117",7643,14116.4747474747,89.1017799558016,0.98877687964824,6.46875747144782,2140.76036191474,74,0.86092649088276,0.723449597092398,0.0116579589108729,0.413814570663049,0.293245599427851,0.0550541882585341,0.108904192994087,4069,0.0550541882585341,0.01122312035176,0.0114870990001218,0.987536361181242,2.06142266255864,0.510546753440041,0.862614837164621
"NIOZ140.123",18621,33138.6590713672,165.236001545125,0.993948050118322,7.3249042043221,5541.11900641676,174,NA,0.745003101011579,0.00887363737420788,0.455223250565111,0.302032486741423,0.0446045500275858,0.0811735306526466,6872,0.0446045500275858,0.00605194988167822,0.0500373219095836,0.967068172499921,2.06142296685489,0.633687080128517,0.748158244896635
"NIOZ140.116",13397,25402.1833761782,132.912753336765,0.992476267514628,7.06153080979458,4287.47645692674,111,0.798227906227947,0.743101102154744,0.00992108332736917,0.499280564580346,0.331576871610021,0.0565169840452908,0.0809744381540573,5271,0.0565169840452908,0.0075237324853716,0.0277384628581232,0.973338190434788,2.0614229988233,0.575120089209127,0.757173185795162
